spend,video views,impressions,clicks,purchases,channel,source,campaign,date
151230.4719956623,716.0,717.0,1.0,6.0,Paid Social,Facebook,Profound intangible policy,2023-06-13
168285.30119591526,631.0,514.0,6.0,5.0,Organic,StackAdapt,Business-focused zero tolerance,2023-11-30
254327.3765810581,547.0,226.0,7.0,5.0,Programmatic,Google Display & Video360,Centralized modular throughput,2023-07-14
176317.62129993984,367.0,396.0,3.0,3.0,Programmatic,StackAdapt,Cross-platform static hierarchy,2023-03-25
82725.26747969737,426.0,467.0,3.0,1.0,Paid Search,Amazon Ad Server,Cross-platform static hierarchy,2023-01-27
33356.541443726775,659.0,360.0,8.0,1.0,Programmatic,StackAdapt,persistent 24/7 attitude,2023-01-22
170432.80478456803,574.0,216.0,10.0,6.0,Programmatic,Google Display & Video360,Cross-platform static hierarchy,2023-08-18
160479.27413756927,133.0,115.0,2.0,0.0,Paid Social,StackAdapt,Automated uniform software,2023-10-08
91580.53601449216,288.0,361.0,7.0,4.0,Paid Search,Amazon Ad Server,Business-focused zero tolerance,2023-03-20
181081.3827758002,533.0,687.0,2.0,6.0,Organic,Amazon Ad Server,Networked value-added time-frame,2023-02-17
153373.1566025995,444.0,235.0,10.0,6.0,Organic,StackAdapt,Integraded dedicated contingency,2023-11-06
183740.38283945585,201.0,477.0,0.0,4.0,Programmatic,Amazon Ad Server,Integraded dedicated contingency,2023-10-09
54682.27318559514,759.0,365.0,4.0,5.0,Organic,Google Display & Video360,Profound intangible policy,2023-01-06
257052.6080000106,550.0,657.0,2.0,3.0,Organic,Facebook,persistent 24/7 attitude,2023-06-06
41344.19293022929,669.0,24.0,4.0,5.0,Paid Social,Bing Ads,Profound intangible policy,2023-09-15
233582.72819335765,142.0,10.0,4.0,3.0,Paid Social,StackAdapt,persistent 24/7 attitude,2023-04-27
202323.08185631936,272.0,756.0,7.0,2.0,Organic,Facebook,Business-focused zero tolerance,2023-09-02
130310.86867980198,99.0,196.0,4.0,2.0,Organic,StackAdapt,Networked value-added time-frame,2023-07-09
18799.40825388503,313.0,483.0,1.0,4.0,Programmatic,Facebook,Cross-platform static hierarchy,2023-11-25
116590.20715020469,240.0,267.0,5.0,2.0,Organic,Google Display & Video360,Networked value-added time-frame,2023-07-30
125264.31621492728,34.0,652.0,6.0,1.0,Programmatic,Facebook,Cross-platform static hierarchy,2023-06-03
273633.7106097796,285.0,87.0,1.0,3.0,Paid Social,Google Display & Video360,persistent 24/7 attitude,2023-08-07
260246.61425386122,454.0,771.0,1.0,2.0,Paid Social,Google Search Ads 360,persistent 24/7 attitude,2023-11-02
242800.23201048508,769.0,393.0,6.0,0.0,Programmatic,Facebook,Automated uniform software,2023-05-14
7779.697691233931,244.0,392.0,4.0,3.0,Programmatic,Bing Ads,Integraded dedicated contingency,2023-03-14
219400.11306566637,706.0,422.0,0.0,5.0,Paid Search,Amazon Ad Server,persistent 24/7 attitude,2023-11-26
73131.45933869631,301.0,114.0,4.0,0.0,Programmatic,Google Display & Video360,Cross-platform static hierarchy,2023-02-27
172038.84338882013,557.0,115.0,10.0,1.0,Paid Search,StackAdapt,Integraded dedicated contingency,2023-11-07
209787.17729860632,434.0,571.0,8.0,1.0,Paid Search,Google Display & Video360,Profound intangible policy,2023-10-27
130368.28345236053,226.0,592.0,1.0,3.0,Programmatic,Amazon Ad Server,Centralized modular throughput,2023-09-25
254427.06097242545,525.0,626.0,9.0,1.0,Organic,Bing Ads,Networked value-added time-frame,2023-12-22
240842.31368641564,444.0,262.0,8.0,6.0,Programmatic,Bing Ads,Automated uniform software,2023-01-05
105809.40140964257,41.0,514.0,10.0,5.0,Organic,Google Search Ads 360,Profound intangible policy,2023-01-10
113685.14950914371,266.0,105.0,1.0,5.0,Organic,Bing Ads,Cross-platform static hierarchy,2023-10-20
203435.59966364663,450.0,490.0,9.0,4.0,Programmatic,Facebook,Centralized modular throughput,2023-08-28
265650.3285689307,720.0,468.0,3.0,5.0,Paid Search,Google Display & Video360,Automated uniform software,2023-07-31
108416.43029686548,587.0,429.0,10.0,5.0,Paid Search,Bing Ads,Centralized modular throughput,2023-08-05
125637.52560629527,386.0,147.0,5.0,5.0,Organic,StackAdapt,Networked value-added time-frame,2023-09-05
83145.41678776596,218.0,224.0,2.0,2.0,Paid Search,LinkedIn Ads,Automated uniform software,2023-04-12
163167.83398599908,292.0,605.0,6.0,1.0,Paid Social,Facebook,Integraded dedicated contingency,2023-04-02
87465.42685896337,431.0,538.0,3.0,5.0,Programmatic,LinkedIn Ads,Integraded dedicated contingency,2023-04-30
37655.5653718568,631.0,744.0,7.0,1.0,Organic,StackAdapt,Automated uniform software,2023-08-25
12636.774704340656,557.0,677.0,2.0,6.0,Organic,Facebook,Networked value-added time-frame,2023-02-16
87428.94549295677,3.0,135.0,3.0,2.0,Organic,StackAdapt,persistent 24/7 attitude,2023-09-30
271668.00269481423,452.0,487.0,8.0,3.0,Paid Search,Google Search Ads 360,Centralized modular throughput,2023-09-12
283637.18614557775,133.0,292.0,10.0,5.0,Programmatic,Facebook,Cross-platform static hierarchy,2023-04-20
101087.90344057907,288.0,378.0,7.0,1.0,Paid Social,LinkedIn Ads,Cross-platform static hierarchy,2023-01-24
89549.7629408464,511.0,196.0,6.0,3.0,Organic,LinkedIn Ads,Cross-platform static hierarchy,2023-11-12
134709.34884544587,442.0,762.0,8.0,3.0,Organic,StackAdapt,Networked value-added time-frame,2023-08-26
158237.04150040846,598.0,424.0,10.0,3.0,Paid Search,Facebook,persistent 24/7 attitude,2023-03-31
68233.95472580535,623.0,124.0,9.0,4.0,Paid Social,Facebook,Integraded dedicated contingency,2023-12-11
264133.3941108652,277.0,130.0,6.0,4.0,Paid Search,Amazon Ad Server,Centralized modular throughput,2023-05-06
136695.18332741965,603.0,617.0,2.0,2.0,Paid Social,Amazon Ad Server,Profound intangible policy,2023-02-01
79689.40904054872,23.0,558.0,7.0,3.0,Paid Search,Google Search Ads 360,Business-focused zero tolerance,2023-02-10
184653.43214140102,527.0,531.0,6.0,4.0,Programmatic,Google Display & Video360,Networked value-added time-frame,2023-05-26
25006.018277050778,598.0,466.0,1.0,4.0,Paid Social,Facebook,Centralized modular throughput,2023-02-22
283329.42058279953,413.0,373.0,1.0,6.0,Programmatic,Bing Ads,persistent 24/7 attitude,2023-09-07
225017.8898579198,335.0,145.0,6.0,4.0,Paid Social,LinkedIn Ads,Cross-platform static hierarchy,2023-06-29
203147.13921946782,754.0,287.0,10.0,0.0,Paid Social,Google Search Ads 360,Networked value-added time-frame,2023-07-04
9043.492443864441,760.0,174.0,4.0,1.0,Paid Social,LinkedIn Ads,Cross-platform static hierarchy,2023-09-29
215159.22003799284,490.0,392.0,5.0,4.0,Organic,Google Display & Video360,persistent 24/7 attitude,2023-07-25
237224.43798512593,642.0,33.0,8.0,6.0,Paid Social,LinkedIn Ads,Networked value-added time-frame,2023-11-05
118434.63938971577,755.0,65.0,7.0,3.0,Programmatic,Facebook,Business-focused zero tolerance,2023-08-31
53283.386318715166,484.0,571.0,8.0,0.0,Paid Search,Amazon Ad Server,persistent 24/7 attitude,2023-10-04
241154.86087851808,13.0,386.0,8.0,4.0,Organic,LinkedIn Ads,Networked value-added time-frame,2023-11-03
62616.63440965228,442.0,537.0,5.0,6.0,Paid Search,Google Search Ads 360,Networked value-added time-frame,2023-09-14
3213.6920449780755,548.0,35.0,7.0,3.0,Programmatic,Bing Ads,Cross-platform static hierarchy,2023-07-16
257104.29545564315,708.0,618.0,9.0,5.0,Organic,Facebook,Automated uniform software,2023-05-09
131992.49278334045,494.0,735.0,3.0,1.0,Paid Search,LinkedIn Ads,Integraded dedicated contingency,2023-05-17
2903.512048441293,336.0,606.0,6.0,0.0,Programmatic,Bing Ads,Integraded dedicated contingency,2023-04-16
244905.53448649796,560.0,52.0,5.0,2.0,Paid Social,Facebook,Cross-platform static hierarchy,2023-04-25
44885.70180207362,564.0,433.0,1.0,6.0,Paid Social,Bing Ads,Automated uniform software,2023-06-05
129047.87463314737,443.0,132.0,2.0,2.0,Paid Social,StackAdapt,Centralized modular throughput,2023-06-04
59854.14184344132,730.0,757.0,3.0,1.0,Paid Social,Google Display & Video360,Networked value-added time-frame,2023-11-14
134599.7985509851,76.0,544.0,2.0,6.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-09-23
88040.58000242467,42.0,367.0,2.0,5.0,Organic,StackAdapt,Profound intangible policy,2023-02-20
262835.4892029287,117.0,217.0,8.0,5.0,Organic,Google Search Ads 360,Integraded dedicated contingency,2023-05-31
269576.25591777865,611.0,694.0,2.0,3.0,Programmatic,Bing Ads,Cross-platform static hierarchy,2023-05-02
143195.9277531162,736.0,365.0,8.0,3.0,Organic,Amazon Ad Server,Automated uniform software,2023-08-13
137592.63143071704,532.0,56.0,2.0,6.0,Paid Search,Google Search Ads 360,Integraded dedicated contingency,2023-06-22
270592.0897266667,16.0,679.0,6.0,5.0,Paid Search,Bing Ads,Automated uniform software,2023-06-15
14963.007401484103,626.0,142.0,9.0,2.0,Paid Social,Google Display & Video360,Business-focused zero tolerance,2023-12-25
273748.6600295741,709.0,124.0,3.0,0.0,Paid Social,StackAdapt,Networked value-added time-frame,2023-12-01
130003.59867485602,608.0,396.0,5.0,3.0,Programmatic,Bing Ads,Cross-platform static hierarchy,2023-07-28
268623.8724175969,485.0,205.0,3.0,4.0,Organic,Bing Ads,Automated uniform software,2023-09-27
223149.33991125828,146.0,181.0,5.0,4.0,Paid Search,LinkedIn Ads,Business-focused zero tolerance,2023-04-24
164887.9073790694,35.0,237.0,0.0,6.0,Organic,Facebook,Networked value-added time-frame,2023-03-13
69074.28240140576,228.0,502.0,3.0,5.0,Paid Search,StackAdapt,persistent 24/7 attitude,2023-08-03
257297.07184001943,578.0,225.0,5.0,2.0,Paid Social,Google Display & Video360,Centralized modular throughput,2023-12-12
226564.74475323682,764.0,228.0,4.0,1.0,Organic,Google Search Ads 360,Networked value-added time-frame,2023-02-07
263763.14281363675,368.0,624.0,9.0,2.0,Paid Search,StackAdapt,Cross-platform static hierarchy,2023-08-15
127217.58353573697,417.0,591.0,5.0,4.0,Organic,LinkedIn Ads,Automated uniform software,2023-03-03
144800.98457053388,20.0,393.0,5.0,6.0,Organic,Bing Ads,Business-focused zero tolerance,2023-03-22
67830.62177081978,345.0,660.0,5.0,0.0,Paid Search,Google Search Ads 360,Business-focused zero tolerance,2023-03-21
188001.97440167578,243.0,137.0,5.0,0.0,Programmatic,Amazon Ad Server,Profound intangible policy,2023-04-10
48236.39355835676,689.0,738.0,6.0,5.0,Programmatic,Google Display & Video360,Centralized modular throughput,2023-10-13
149004.22531041523,137.0,125.0,1.0,5.0,Programmatic,Google Display & Video360,Business-focused zero tolerance,2023-07-12
118023.66050788379,294.0,63.0,4.0,0.0,Organic,Bing Ads,Networked value-added time-frame,2023-11-09
96742.16421309272,617.0,392.0,4.0,2.0,Organic,Google Display & Video360,Centralized modular throughput,2023-07-18
52208.003011381865,41.0,108.0,9.0,6.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-06-27
175136.0378899155,224.0,434.0,0.0,5.0,Paid Social,LinkedIn Ads,Profound intangible policy,2023-12-17
178738.31302087635,58.0,431.0,6.0,1.0,Paid Social,StackAdapt,Profound intangible policy,2023-06-01
263122.04558508535,745.0,757.0,8.0,3.0,Programmatic,Google Search Ads 360,persistent 24/7 attitude,2023-07-21
241496.20855057446,271.0,66.0,7.0,6.0,Organic,Google Search Ads 360,Cross-platform static hierarchy,2023-09-13
157240.72658743212,539.0,145.0,5.0,1.0,Paid Search,LinkedIn Ads,Centralized modular throughput,2023-01-21
185103.69662873526,174.0,384.0,1.0,6.0,Paid Social,Google Display & Video360,persistent 24/7 attitude,2023-01-28
199038.93463770198,14.0,347.0,9.0,4.0,Paid Search,Google Search Ads 360,Business-focused zero tolerance,2023-01-03
128146.58972766058,513.0,4.0,5.0,5.0,Paid Search,LinkedIn Ads,Networked value-added time-frame,2023-03-29
15268.408721424647,380.0,570.0,0.0,2.0,Paid Search,Amazon Ad Server,Business-focused zero tolerance,2023-06-16
4859.334259450091,55.0,316.0,2.0,3.0,Programmatic,Amazon Ad Server,Integraded dedicated contingency,2023-12-16
238744.33603104195,375.0,276.0,5.0,2.0,Paid Search,LinkedIn Ads,Integraded dedicated contingency,2023-02-04
90129.70007976065,130.0,743.0,3.0,1.0,Organic,Bing Ads,persistent 24/7 attitude,2023-10-21
94418.15924166773,421.0,36.0,7.0,1.0,Programmatic,LinkedIn Ads,Cross-platform static hierarchy,2023-06-26
181235.03208880502,48.0,536.0,0.0,5.0,Paid Social,StackAdapt,Integraded dedicated contingency,2023-03-19
57353.18713906514,691.0,172.0,3.0,5.0,Programmatic,Amazon Ad Server,persistent 24/7 attitude,2023-12-14
50661.46211844211,440.0,429.0,4.0,1.0,Programmatic,LinkedIn Ads,Automated uniform software,2023-12-31
129737.29616586461,321.0,408.0,5.0,1.0,Paid Social,LinkedIn Ads,Automated uniform software,2023-09-20
231897.82321145938,196.0,150.0,5.0,6.0,Organic,LinkedIn Ads,Cross-platform static hierarchy,2023-04-07
85517.44131825319,701.0,22.0,0.0,0.0,Organic,Bing Ads,Cross-platform static hierarchy,2023-04-18
169493.10436788466,602.0,289.0,0.0,0.0,Organic,Google Search Ads 360,Automated uniform software,2023-08-17
267107.96093844087,556.0,148.0,6.0,6.0,Organic,Google Display & Video360,Integraded dedicated contingency,2023-07-13
54386.244035977164,25.0,403.0,1.0,5.0,Programmatic,Amazon Ad Server,persistent 24/7 attitude,2023-08-06
186387.20994261,692.0,12.0,5.0,2.0,Programmatic,Google Display & Video360,Profound intangible policy,2023-11-19
221925.69291641316,466.0,218.0,9.0,1.0,Programmatic,Google Display & Video360,Integraded dedicated contingency,2023-12-03
195853.48746240477,177.0,434.0,7.0,5.0,Organic,Google Search Ads 360,Centralized modular throughput,2023-02-08
116435.4902854348,503.0,43.0,7.0,1.0,Paid Search,StackAdapt,Cross-platform static hierarchy,2023-03-23
119635.12116607146,755.0,236.0,8.0,4.0,Paid Search,LinkedIn Ads,Networked value-added time-frame,2023-01-13
167836.7861985065,577.0,198.0,4.0,2.0,Paid Social,Amazon Ad Server,Profound intangible policy,2023-04-28
188788.98573591426,355.0,470.0,2.0,2.0,Paid Social,Google Display & Video360,Integraded dedicated contingency,2023-01-23
272900.44155601546,650.0,208.0,1.0,2.0,Programmatic,Bing Ads,Profound intangible policy,2023-01-19
287986.67350984673,467.0,632.0,9.0,5.0,Organic,StackAdapt,Profound intangible policy,2023-04-15
179119.13074381076,325.0,591.0,3.0,2.0,Paid Social,Google Search Ads 360,Profound intangible policy,2023-02-18
99478.9001954898,482.0,598.0,1.0,3.0,Programmatic,Google Display & Video360,Networked value-added time-frame,2023-05-10
167383.0757250293,191.0,769.0,9.0,6.0,Paid Search,Amazon Ad Server,Profound intangible policy,2023-10-05
172218.22842707747,575.0,191.0,5.0,2.0,Programmatic,Google Display & Video360,Integraded dedicated contingency,2023-06-21
245579.75086140848,306.0,413.0,9.0,6.0,Paid Search,Bing Ads,Cross-platform static hierarchy,2023-12-10
271900.49172971875,487.0,682.0,9.0,5.0,Paid Search,StackAdapt,persistent 24/7 attitude,2023-08-11
45519.816278168575,394.0,173.0,5.0,0.0,Programmatic,Google Display & Video360,persistent 24/7 attitude,2023-08-23
80044.76592811596,243.0,280.0,8.0,5.0,Programmatic,Amazon Ad Server,Integraded dedicated contingency,2023-10-23
160071.43997443482,727.0,145.0,0.0,4.0,Paid Social,LinkedIn Ads,persistent 24/7 attitude,2023-08-22
227345.15200519544,523.0,322.0,6.0,3.0,Programmatic,Google Display & Video360,Business-focused zero tolerance,2023-04-23
57859.48563459957,95.0,627.0,9.0,0.0,Organic,Facebook,Networked value-added time-frame,2023-08-04
117162.80684578799,480.0,433.0,4.0,2.0,Paid Search,StackAdapt,Business-focused zero tolerance,2023-05-01
26685.898505847923,27.0,505.0,5.0,5.0,Paid Search,Google Display & Video360,Automated uniform software,2023-01-01
278473.22669749276,2.0,734.0,10.0,4.0,Paid Search,Facebook,Cross-platform static hierarchy,2023-11-18
30529.706717740748,243.0,278.0,1.0,2.0,Paid Search,Google Search Ads 360,Cross-platform static hierarchy,2023-05-18
80845.07734546092,268.0,111.0,3.0,2.0,Organic,Bing Ads,Profound intangible policy,2023-09-16
168037.39010833867,257.0,427.0,2.0,1.0,Paid Social,StackAdapt,Cross-platform static hierarchy,2023-03-28
109188.19800454978,609.0,704.0,3.0,4.0,Organic,LinkedIn Ads,Automated uniform software,2023-01-15
275481.38472927024,508.0,632.0,6.0,3.0,Paid Social,Google Search Ads 360,Networked value-added time-frame,2023-06-02
248158.92794990892,431.0,244.0,6.0,3.0,Programmatic,LinkedIn Ads,Profound intangible policy,2023-03-24
116804.06480351891,240.0,656.0,1.0,6.0,Programmatic,Google Display & Video360,Centralized modular throughput,2023-10-06
195641.21467817613,468.0,93.0,4.0,1.0,Paid Social,Bing Ads,Automated uniform software,2023-04-08
26667.017929349287,563.0,95.0,2.0,5.0,Paid Social,Google Search Ads 360,Cross-platform static hierarchy,2023-08-30
243756.2807300935,562.0,536.0,3.0,4.0,Paid Search,Google Display & Video360,persistent 24/7 attitude,2023-06-08
188914.3340230684,257.0,193.0,5.0,3.0,Paid Search,LinkedIn Ads,Integraded dedicated contingency,2023-02-21
192158.85274238032,134.0,404.0,1.0,4.0,Paid Search,Facebook,Business-focused zero tolerance,2023-04-06
25812.981738455303,661.0,267.0,7.0,2.0,Programmatic,Amazon Ad Server,Centralized modular throughput,2023-03-16
38737.59275204273,685.0,372.0,5.0,6.0,Organic,StackAdapt,persistent 24/7 attitude,2023-02-14
121421.91731049564,183.0,746.0,6.0,6.0,Programmatic,Google Display & Video360,Automated uniform software,2023-01-11
92985.29059526087,209.0,92.0,2.0,5.0,Organic,Amazon Ad Server,Integraded dedicated contingency,2023-06-23
219691.23042332445,751.0,749.0,2.0,6.0,Paid Social,Bing Ads,Integraded dedicated contingency,2023-08-19
104676.45976840727,141.0,167.0,2.0,2.0,Organic,LinkedIn Ads,Automated uniform software,2023-03-18
66167.00874266395,523.0,141.0,8.0,5.0,Programmatic,Bing Ads,Automated uniform software,2023-01-16
124914.61887848187,111.0,379.0,8.0,5.0,Paid Social,LinkedIn Ads,Centralized modular throughput,2023-10-25
55876.931014879345,186.0,472.0,1.0,6.0,Programmatic,Facebook,Automated uniform software,2023-03-07
223804.12885490878,272.0,73.0,8.0,1.0,Paid Social,LinkedIn Ads,Centralized modular throughput,2023-05-16
282676.222976734,437.0,405.0,2.0,1.0,Paid Search,Amazon Ad Server,persistent 24/7 attitude,2023-11-10
100587.3826670189,320.0,57.0,7.0,1.0,Paid Search,Bing Ads,Automated uniform software,2023-09-01
244137.2035684954,742.0,671.0,10.0,6.0,Organic,Amazon Ad Server,Centralized modular throughput,2023-06-07
171096.22359822734,165.0,550.0,9.0,2.0,Paid Search,Bing Ads,Automated uniform software,2023-11-21
264548.08836452034,15.0,278.0,8.0,0.0,Organic,Amazon Ad Server,Automated uniform software,2023-05-15
52079.9460654461,370.0,490.0,5.0,5.0,Paid Social,Google Search Ads 360,Profound intangible policy,2023-07-03
213871.09359692605,317.0,290.0,1.0,5.0,Paid Social,Google Search Ads 360,Integraded dedicated contingency,2023-04-19
279541.59298618673,385.0,575.0,8.0,1.0,Paid Search,StackAdapt,Automated uniform software,2023-11-22
162016.05217118585,351.0,27.0,6.0,5.0,Paid Search,Amazon Ad Server,Profound intangible policy,2023-12-21
274255.71386170195,492.0,726.0,7.0,5.0,Paid Social,Google Display & Video360,Cross-platform static hierarchy,2023-02-13
124149.25756008699,457.0,694.0,7.0,1.0,Programmatic,StackAdapt,Centralized modular throughput,2023-05-03
96568.40918669147,70.0,22.0,1.0,6.0,Organic,LinkedIn Ads,persistent 24/7 attitude,2023-07-11
241473.4749931215,191.0,491.0,6.0,2.0,Programmatic,Amazon Ad Server,persistent 24/7 attitude,2023-03-12
56388.60044734783,401.0,22.0,8.0,0.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-08-16
284673.1905830678,297.0,64.0,5.0,5.0,Paid Search,StackAdapt,Centralized modular throughput,2023-12-18
174066.80928695964,219.0,613.0,7.0,5.0,Paid Social,Amazon Ad Server,Cross-platform static hierarchy,2023-01-26
111157.30663319837,452.0,110.0,4.0,4.0,Paid Search,Facebook,Centralized modular throughput,2023-10-28
149098.8496287124,286.0,737.0,4.0,0.0,Paid Search,Facebook,persistent 24/7 attitude,2023-10-16
239546.25447614185,445.0,122.0,8.0,4.0,Paid Search,Bing Ads,Profound intangible policy,2023-02-25
29430.57649734063,477.0,31.0,8.0,3.0,Paid Social,LinkedIn Ads,Automated uniform software,2023-10-30
158946.10033173236,211.0,394.0,9.0,1.0,Organic,LinkedIn Ads,Business-focused zero tolerance,2023-01-07
268390.0282338327,707.0,416.0,8.0,0.0,Programmatic,Google Search Ads 360,Automated uniform software,2023-11-08
40588.85919975314,495.0,751.0,2.0,2.0,Programmatic,Google Display & Video360,persistent 24/7 attitude,2023-08-21
100402.15685081108,525.0,237.0,1.0,3.0,Paid Social,Google Display & Video360,Business-focused zero tolerance,2023-12-08
96120.4035356142,616.0,161.0,1.0,3.0,Programmatic,Bing Ads,Business-focused zero tolerance,2023-04-05
196202.62049024156,306.0,50.0,1.0,6.0,Organic,StackAdapt,Automated uniform software,2023-01-09
4505.170674800939,737.0,522.0,1.0,5.0,Paid Search,LinkedIn Ads,Integraded dedicated contingency,2023-02-28
74450.2558877357,541.0,95.0,3.0,3.0,Programmatic,Amazon Ad Server,Business-focused zero tolerance,2023-02-05
63463.50899451256,16.0,322.0,10.0,4.0,Programmatic,Bing Ads,Cross-platform static hierarchy,2023-03-08
30204.709609405763,26.0,27.0,7.0,4.0,Programmatic,Amazon Ad Server,Cross-platform static hierarchy,2023-10-01
42046.50233326841,517.0,619.0,2.0,4.0,Paid Search,Google Search Ads 360,persistent 24/7 attitude,2023-01-12
238289.23271298804,477.0,226.0,3.0,4.0,Organic,StackAdapt,Networked value-added time-frame,2023-03-01
247335.33991726363,268.0,4.0,2.0,6.0,Organic,Amazon Ad Server,Profound intangible policy,2023-03-05
14538.779464406563,311.0,81.0,7.0,1.0,Paid Social,Bing Ads,Integraded dedicated contingency,2023-07-08
120137.763998022,280.0,707.0,8.0,4.0,Paid Search,Google Display & Video360,persistent 24/7 attitude,2023-12-20
38665.830345291106,661.0,524.0,6.0,1.0,Organic,Bing Ads,Centralized modular throughput,2023-03-02
210185.85006162824,470.0,399.0,4.0,5.0,Programmatic,Bing Ads,Business-focused zero tolerance,2023-01-25
100754.60266935335,434.0,386.0,9.0,3.0,Programmatic,Google Search Ads 360,persistent 24/7 attitude,2023-06-30
231978.64139501008,239.0,553.0,7.0,3.0,Organic,StackAdapt,Automated uniform software,2023-07-24
259503.66780187178,313.0,117.0,7.0,5.0,Paid Social,StackAdapt,Automated uniform software,2023-11-15
126750.58530905205,251.0,310.0,5.0,3.0,Paid Search,StackAdapt,Automated uniform software,2023-01-17
254661.6233031346,321.0,108.0,2.0,3.0,Organic,Google Search Ads 360,Profound intangible policy,2023-05-25
158668.86885484523,49.0,697.0,5.0,6.0,Programmatic,LinkedIn Ads,Profound intangible policy,2023-09-08
42459.186920345805,133.0,185.0,7.0,5.0,Paid Search,Google Display & Video360,Business-focused zero tolerance,2023-12-28
110020.62234397417,679.0,669.0,9.0,1.0,Programmatic,Amazon Ad Server,Centralized modular throughput,2023-10-11
22982.14053932281,405.0,62.0,7.0,2.0,Paid Search,StackAdapt,Business-focused zero tolerance,2023-07-05
77208.29274821933,141.0,530.0,10.0,5.0,Paid Search,StackAdapt,Business-focused zero tolerance,2023-06-14
157151.4404340517,412.0,426.0,4.0,1.0,Organic,Bing Ads,Networked value-added time-frame,2023-12-02
57821.62077020598,36.0,483.0,5.0,2.0,Organic,LinkedIn Ads,Cross-platform static hierarchy,2023-06-18
16725.321325484652,19.0,523.0,8.0,2.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-03-26
264044.14346765267,602.0,423.0,10.0,3.0,Programmatic,Bing Ads,Business-focused zero tolerance,2023-03-06
258235.9133744913,208.0,487.0,3.0,3.0,Organic,Google Display & Video360,Networked value-added time-frame,2023-08-01
63462.802218147815,466.0,512.0,7.0,2.0,Paid Social,Google Search Ads 360,Automated uniform software,2023-12-19
33429.64995186694,184.0,331.0,5.0,1.0,Organic,LinkedIn Ads,Business-focused zero tolerance,2023-08-10
263480.8056883008,47.0,688.0,8.0,5.0,Paid Search,Google Display & Video360,Profound intangible policy,2023-07-27
239705.65960852866,557.0,149.0,2.0,2.0,Organic,Google Search Ads 360,Networked value-added time-frame,2023-07-22
206308.23423664083,236.0,547.0,2.0,5.0,Paid Search,Google Display & Video360,Networked value-added time-frame,2023-01-02
46120.06611394508,656.0,79.0,1.0,6.0,Organic,Google Search Ads 360,Integraded dedicated contingency,2023-10-18
131047.44227305906,582.0,425.0,4.0,6.0,Paid Search,Bing Ads,Networked value-added time-frame,2023-04-22
117311.2539444957,396.0,771.0,1.0,0.0,Organic,Google Display & Video360,Automated uniform software,2023-07-15
282097.8081291314,745.0,195.0,6.0,5.0,Paid Social,Amazon Ad Server,Networked value-added time-frame,2023-04-11
286328.78749624063,461.0,379.0,9.0,1.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-04-01
111406.85148516238,68.0,668.0,10.0,5.0,Paid Search,Google Display & Video360,Integraded dedicated contingency,2023-06-12
18963.982386133444,206.0,325.0,5.0,1.0,Paid Search,Bing Ads,Centralized modular throughput,2023-08-02
63264.93132959497,476.0,713.0,6.0,2.0,Organic,Google Display & Video360,Cross-platform static hierarchy,2023-05-05
274960.41801372176,688.0,33.0,7.0,3.0,Programmatic,Bing Ads,Networked value-added time-frame,2023-02-23
137946.65037391096,743.0,700.0,5.0,2.0,Paid Search,StackAdapt,Integraded dedicated contingency,2023-11-04
100125.92761450322,106.0,66.0,2.0,3.0,Organic,Bing Ads,Automated uniform software,2023-07-20
167152.05995639513,210.0,493.0,3.0,5.0,Organic,Google Search Ads 360,Business-focused zero tolerance,2023-10-17
75466.359820297,66.0,87.0,0.0,5.0,Organic,Amazon Ad Server,Cross-platform static hierarchy,2023-09-17
225753.67307845302,78.0,562.0,6.0,4.0,Programmatic,Amazon Ad Server,Automated uniform software,2023-12-30
256074.6693433546,306.0,750.0,2.0,5.0,Paid Search,Amazon Ad Server,Business-focused zero tolerance,2023-12-26
253432.50324067194,41.0,352.0,6.0,6.0,Paid Social,Bing Ads,Networked value-added time-frame,2023-03-10
